nct_id,intervention_id,name,description,title
NCT01818063,73676220,Paclitaxel,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676220,Paclitaxel,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676221,Carboplatin,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676221,Carboplatin,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676222,Doxorubicin,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676222,Doxorubicin,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676223,Cyclophosphamide,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676223,Cyclophosphamide,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676224,Veliparib,Given PO,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT02282020,74352279,OLAPARIB,300 mg olaparib tablets taken orally twice daily. All patients should continue to receive study treatment until objective radiological disease progression as per RECIST 1.1 as assessed by the investigator or the patient experiences unacceptable toxicity or they meet any other discontinuation criteria.,1/OLAPARIB
NCT02282020,74352280,Single agent chemotherapy,"Treatment of relapsed disease with single agent chemotherapy based on physician's choice of weekly paclitaxel, topotecan, pegylated liposomal doxorubicin, or gemcitabine. All patients should continue to receive study treatment until objective radiological disease progression as per RECIST 1.1 as assessed by the investigator or the patient experiences unacceptable toxicity or they meet any other discontinuation criteria",2/CHEMOTHERAPY
NCT02032823,74204168,Olaparib,"Patients will be administred olaparib orally twice daily (b.i.d.) at 300 mg. Two (2) x 150 mg olaparib tablets should be taken at the same times each morning and evening of each day, approximately 12 hours apart with approximately 240 ml of water.",Olaparib
NCT02032823,74204169,Placebo,"Patients will be administred matching placebo. Two (2) tablets should be taken at the same times each morning and evening of each day, approximately 12 hours apart with approximately 240 ml of water.",Placebo
NCT03167619,74214858,Olaparib Oral Product,olaparib 300mg twice daily,A - olaparib alone
NCT03167619,74214859,Olaparib Oral Product in combination with Durvalumab,olaparib 300mg twice daily plus intravenous durvalumab every 28 days,B - olaparib plus durvalumab
NCT01116648,73883292,Biopsy,Undergo optional tissue biopsy,Arm I (cediranib maleate and olaparib)
NCT01116648,73883292,Biopsy,Undergo optional tissue biopsy,Arm II (olaparib)
NCT01116648,73883293,Biospecimen Collection,Undergo blood sample collection,Arm I (cediranib maleate and olaparib)
NCT01116648,73883293,Biospecimen Collection,Undergo blood sample collection,Arm II (olaparib)
NCT01116648,73883294,Cediranib Maleate,Given PO,Arm I (cediranib maleate and olaparib)
NCT01116648,73883295,Computed Tomography,Undergo CT,Arm I (cediranib maleate and olaparib)
NCT01116648,73883295,Computed Tomography,Undergo CT,Arm II (olaparib)
NCT01116648,73883296,Echocardiography,Undergo ECHO,Arm I (cediranib maleate and olaparib)
NCT01116648,73883296,Echocardiography,Undergo ECHO,Arm II (olaparib)
NCT01116648,73883297,Magnetic Resonance Imaging,Undergo MRI,Arm I (cediranib maleate and olaparib)
