nct_id,intervention_id,name,description,title
NCT01818063,73676220,Paclitaxel,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676220,Paclitaxel,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676221,Carboplatin,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676221,Carboplatin,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676222,Doxorubicin,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676222,Doxorubicin,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676223,Cyclophosphamide,Given IV,"Arm 1 (paclitaxel, carboplatin)"
NCT01818063,73676223,Cyclophosphamide,Given IV,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT01818063,73676224,Veliparib,Given PO,"Arm 2 (veliparib, paclitaxel, carboplatin)"
NCT03499353,73388081,TALAZOPARIB,Talazoparib 1mg/day,TALAZOPARIB
NCT03840200,73390081,Ipatasertib,Ipatasertib will be administered orally.,Dose Expansion
NCT03840200,73390081,Ipatasertib,Ipatasertib will be administered orally.,Dose escalation-Cohort 1
NCT03840200,73390081,Ipatasertib,Ipatasertib will be administered orally.,Dose escalation-Cohort 2a
NCT03840200,73390081,Ipatasertib,Ipatasertib will be administered orally.,Dose escalation-Cohort 2b
NCT03840200,73390081,Ipatasertib,Ipatasertib will be administered orally.,Dose escalation-Cohort 3
NCT03840200,73390082,Rucaparib,Rucaparib will be administered orally.,Dose Expansion
NCT03840200,73390082,Rucaparib,Rucaparib will be administered orally.,Dose escalation-Cohort 1
NCT03840200,73390082,Rucaparib,Rucaparib will be administered orally.,Dose escalation-Cohort 2a
NCT03840200,73390082,Rucaparib,Rucaparib will be administered orally.,Dose escalation-Cohort 2b
NCT03840200,73390082,Rucaparib,Rucaparib will be administered orally.,Dose escalation-Cohort 3
NCT02032823,73390241,Olaparib,"Patients will be administred olaparib orally twice daily (b.i.d.) at 300 mg. Two (2) x 150 mg olaparib tablets should be taken at the same times each morning and evening of each day, approximately 12 hours apart with approximately 240 ml of water.",Olaparib
NCT02032823,73390242,Placebo,"Patients will be administred matching placebo. Two (2) tablets should be taken at the same times each morning and evening of each day, approximately 12 hours apart with approximately 240 ml of water.",Placebo
NCT02401347,73531494,Talazoparib Tosylate,Participants receive Talazoparib tosylate at 1 mg by mouth daily.,Cohort A - Triple-negative Breast Cancer
NCT02401347,73531494,Talazoparib Tosylate,Participants receive Talazoparib tosylate at 1 mg by mouth daily.,Cohort B - HER2-negative solid tumor
NCT03167619,73400936,Olaparib Oral Product,olaparib 300mg twice daily,A - olaparib alone
NCT03167619,73400937,Olaparib Oral Product in combination with Durvalumab,olaparib 300mg twice daily plus intravenous durvalumab every 28 days,B - olaparib plus durvalumab
