nct_id,result_group_id,classification,category,title,param_value
NCT03167619,74624646,,,"Age, Continuous",51
NCT01905592,74040546,,18-64 years,"Age, Customized",194
NCT01905592,74040546,,65-74 years,"Age, Customized",8
NCT01905592,74040546,,>=75 years,"Age, Customized",4
NCT01116648,74380806,,,"Age, Continuous",57.7
NCT01945775,73957741,,,"Age, Continuous",48.1
NCT03330847,73962833,,,"Age, Continuous",53.6
NCT03330847,73962833,<40 Years,,"Age, Customized",28
NCT03330847,73962833,>=40 to <50 Years,,"Age, Customized",75
NCT03330847,73962833,>=50 to <65 Years,,"Age, Customized",125
NCT03330847,73962833,>=65 to <75 Years,,"Age, Customized",35
NCT03330847,73962833,>=75 Years,,"Age, Customized",10
NCT02282020,73999399,,,"Age, Continuous",59.2
NCT01506609,74088663,,< 45 years,"Age, Customized",140
NCT01506609,74088663,,45 to 64 years,"Age, Customized",143
NCT01506609,74088663,,>= 65 years,"Age, Customized",11
NCT01306032,74410713,,<=18 years,"Age, Categorical",0
NCT01306032,74410713,,Between 18 and 65 years,"Age, Categorical",96
NCT01306032,74410713,,>=65 years,"Age, Categorical",28
NCT01306032,74410713,,,"Age, Continuous",57
NCT02163694,74137200,,,"Age, Continuous",46.8
NCT02000622,74455746,Age (years),,"Age, Continuous",44
NCT02000622,74455746,,<50,"Age, Customized",201
NCT02000622,74455746,,>=50-<65,"Age, Customized",86
NCT02000622,74455746,,>=65,"Age, Customized",15
NCT01818063,74178693,,<=18 years,"Age, Categorical",0
NCT01818063,74178693,,Between 18 and 65 years,"Age, Categorical",7
NCT01818063,74178693,,>=65 years,"Age, Categorical",2
NCT02032823,74616130,,,"Age, Continuous",43.3
NCT02032823,74616130,<30 years,,"Age, Customized",110
NCT02032823,74616130,30-39 years,,"Age, Customized",639
NCT02032823,74616130,40-49 years,,"Age, Customized",623
NCT02032823,74616130,50-59 years,,"Age, Customized",338
NCT02032823,74616130,60-69 years,,"Age, Customized",114
NCT02032823,74616130,>=70 years,,"Age, Customized",12
