nct_id,result_group_id,ctgov_group_code,number,category
NCT03167619,74624646,BG002,0,American Indian or Alaska Native
NCT03167619,74624646,BG002,34,Asian
NCT03167619,74624646,BG002,0,Native Hawaiian or Other Pacific Islander
NCT03167619,74624646,BG002,0,Black or African American
NCT03167619,74624646,BG002,9,White
NCT03167619,74624646,BG002,0,More than one race
NCT03167619,74624646,BG002,2,Unknown or Not Reported
NCT01905592,74040546,BG002,11,Ashkenazi Jewish descendant
NCT01905592,74040546,BG002,167,White
NCT01905592,74040546,BG002,9,Black or African American
NCT01905592,74040546,BG002,2,Asian
NCT01905592,74040546,BG002,8,Unknown or Not Reported
NCT01905592,74040546,BG002,9,Unknown or Not Reported
NCT01116648,74380806,BG015,0,American Indian or Alaska Native
NCT01116648,74380806,BG015,3,Asian
NCT01116648,74380806,BG015,0,Native Hawaiian or Other Pacific Islander
NCT01116648,74380806,BG015,5,Black or African American
NCT01116648,74380806,BG015,141,White
NCT01116648,74380806,BG015,1,More than one race
NCT01116648,74380806,BG015,5,Unknown or Not Reported
NCT01945775,73957741,BG002,0,American Indian or Alaska Native
NCT01945775,73957741,BG002,47,Asian
NCT01945775,73957741,BG002,0,Native Hawaiian or Other Pacific Islander
NCT01945775,73957741,BG002,12,Black or African American
NCT01945775,73957741,BG002,298,White
NCT01945775,73957741,BG002,0,More than one race
NCT01945775,73957741,BG002,74,Unknown or Not Reported
NCT03330847,73962833,BG003,0,American Indian or Alaska Native
NCT03330847,73962833,BG003,44,Asian
NCT03330847,73962833,BG003,0,Native Hawaiian or Other Pacific Islander
NCT03330847,73962833,BG003,4,Black or African American
NCT03330847,73962833,BG003,192,White
NCT03330847,73962833,BG003,12,More than one race
NCT03330847,73962833,BG003,21,Unknown or Not Reported
NCT02282020,73999399,BG002,223,White
NCT02282020,73999399,BG002,2,Black Or African American
NCT02282020,73999399,BG002,34,Asian
NCT02282020,73999399,BG002,6,American Indian Or Alaska Native
NCT02282020,73999399,BG002,1,Unknown or Not Reported
NCT01506609,74088663,BG006,18,Hispanic or Latino
NCT01506609,74088663,BG006,276,No Ethnicity
NCT01506609,74088663,BG006,272,White
NCT01506609,74088663,BG006,17,Black or African American
NCT01506609,74088663,BG006,2,Asian
NCT01506609,74088663,BG006,1,Native Hawaiian or Other Pacific Islander
NCT01506609,74088663,BG006,2,"Other, Not Specified"
NCT01306032,74410713,BG006,0,American Indian or Alaska Native
NCT01306032,74410713,BG006,7,Asian
NCT01306032,74410713,BG006,0,Native Hawaiian or Other Pacific Islander
NCT01306032,74410713,BG006,10,Black or African American
NCT01306032,74410713,BG006,107,White
NCT01306032,74410713,BG006,0,More than one race
NCT01306032,74410713,BG006,0,Unknown or Not Reported
NCT02163694,74137200,BG002,447,White
NCT02163694,74137200,BG002,20,Black or African American
NCT02163694,74137200,BG002,36,Asian
NCT02163694,74137200,BG002,3,American Indian or Alaska Native
NCT02163694,74137200,BG002,0,Native Hawaiian or Pacific Islander
NCT02163694,74137200,BG002,3,Unknown or Not Reported
NCT02000622,74455746,BG002,4,American Indian or Alaska Native
NCT02000622,74455746,BG002,94,Asian
NCT02000622,74455746,BG002,0,Native Hawaiian or Other Pacific Islander
NCT02000622,74455746,BG002,5,Black or African American
NCT02000622,74455746,BG002,197,White
NCT02000622,74455746,BG002,0,More than one race
NCT02000622,74455746,BG002,2,Unknown or Not Reported
NCT01818063,74178693,BG002,0,American Indian or Alaska Native
NCT01818063,74178693,BG002,0,Asian
NCT01818063,74178693,BG002,0,Native Hawaiian or Other Pacific Islander
NCT01818063,74178693,BG002,3,Black or African American
NCT01818063,74178693,BG002,6,White
NCT01818063,74178693,BG002,0,More than one race
NCT01818063,74178693,BG002,0,Unknown or Not Reported
NCT02032823,74616130,BG002,4,American Indian or Alaska Native
NCT02032823,74616130,BG002,531,Asian
NCT02032823,74616130,BG002,48,Black or African American
NCT02032823,74616130,BG002,1,Native Hawaiian or Other Pacific Islander
NCT02032823,74616130,BG002,1225,White
NCT02032823,74616130,BG002,9,Unknown or Not Reported
NCT02032823,74616130,BG002,18,Unknown or Not Reported
