nct_id,result_group_id,ctgov_group_code,category,title,param_value
NCT03167619,74624646,BG002,Female,"Sex: Female, Male",45
NCT03167619,74624646,BG002,Male,"Sex: Female, Male",0
NCT01905592,74040546,BG002,Female,"Sex: Female, Male",203
NCT01905592,74040546,BG002,Male,"Sex: Female, Male",3
NCT01116648,74380806,BG015,Female,"Sex: Female, Male",155
NCT01116648,74380806,BG015,Male,"Sex: Female, Male",0
NCT01945775,73957741,BG002,Female,"Sex: Female, Male",424
NCT01945775,73957741,BG002,Male,"Sex: Female, Male",7
NCT03330847,73962833,BG003,Female,"Sex: Female, Male",273
NCT03330847,73962833,BG003,Male,"Sex: Female, Male",0
NCT02282020,73999399,BG002,Female,"Sex: Female, Male",266
NCT02282020,73999399,BG002,Male,"Sex: Female, Male",0
NCT01506609,74088663,BG006,Female,"Sex: Female, Male",288
NCT01506609,74088663,BG006,Male,"Sex: Female, Male",6
NCT01306032,74410713,BG006,Female,"Sex: Female, Male",123
NCT01306032,74410713,BG006,Male,"Sex: Female, Male",1
NCT02163694,74137200,BG002,Female,"Sex: Female, Male",502
NCT02163694,74137200,BG002,Male,"Sex: Female, Male",7
NCT02000622,74455746,BG002,Female,"Sex: Female, Male",295
NCT02000622,74455746,BG002,Male,"Sex: Female, Male",7
NCT01818063,74178693,BG002,Female,"Sex: Female, Male",9
NCT01818063,74178693,BG002,Male,"Sex: Female, Male",0
NCT02032823,74616130,BG002,Female,"Sex: Female, Male",1830
NCT02032823,74616130,BG002,Male,"Sex: Female, Male",6
