nct_id,intervention_id,name,description,title
NCT01312233,73667945,Medical Care,Participants allocated to all three treatment groups receive medical care over a 12-week period. Medical treatments are standard therapies for back pain. Medical and osteopathic physicians follow clinical practice guideline recommendations for back pain: focused history and physical exam; limited diagnostic imaging; self-management education; maintaining physical activity as tolerated and local heat/cold application; pharmacotherapy with analgesics and anti-inflammatory agents. Participants not responding to treatment may receive additional therapies such as physical therapy or specialist referral.,Medical Care
NCT01312233,73667946,Dual Care,"Participants allocated to Dual Care receive medical care as described plus chiropractic care over a 12-week period. Chiropractic care includes standard therapies for back pain. A doctor of chiropractic determines the therapeutic approach based upon a participant's clinical presentation. Treatments may include spinal or extremity joint manipulation, such as: high velocity-low amplitude or low velocity-variable amplitude maneuvers; mechanical device assisted adjustments; or passive mobilization. Recommendations for exercise, lifestyle modifications, or other therapies may be provided.",Dual Care
NCT01312233,73667947,Shared Care,"Participants allocated to Shared Care receive co-managed medical care from a medical or osteopathic doctor and chiropractic care from a doctor of chiropractic over a 12-week period. The medical and chiropractic treatments are standard therapies for back pain, as described under Medical Care and Dual Care.",Shared Care
NCT03360344,74175106,Kinesio 12 inch Tape,Kinesio Tape approximately 12-inch strip will be applied to the dorsal surface of the forearm of the affected side for three-day increments over three weeks of the study.,Kinesio Tape
NCT03360344,74175107,Kinesio 4 inch Tape,Kinesio Tape for the control group will be a 4 inch Kinesio Tape applied to the scapular spine for three day increments over three weeks of the study.,Control group
NCT03360344,74175108,Cock up Splint and Lumbrical exercises,"A general cock-up splint will be supplied, fitted, and checked on each of the four return visits by the researchers. Lumbrical exercises are also used and consist of active joint ranges for the wrist and hand. The exercises will be demonstrated by the researchers for 3-sets of 10 times each, daily, to be recorded in a log by the participants.",Standard of Care
NCT03816007,74339694,Yoga and Mantram Repetition,"An existing yoga intervention designed for persons with chronic pain will be augmented with training in mantram repetition. The intervention meets 1x weekly for 75 minutes for 12 weeks, and includes a home practice component.",Yoga and Mantram Repetition
NCT03816007,74339695,Veteran Calm,"A relaxation intervention used previously as a comparator intervention will be delivered by a health educator 1x weekly for 75 minutes for 12 weeks, and includes a home practice component.",Relaxation/Health Education
NCT00803413,74345685,Back School Intervention,"Patients were submitted once a week for 5 consecutive weeks to sessions of 45 minutes including: 15-minute lectures about basics of spine's anatomy, ergonomics, techniques of lifting and transportation of weights and volumes, body posture in several daily tasks and situations, and spine preventive care; 30 minutes of on-place supervised exercises for posture and spine flexibility (muscle stretching, relaxation, strengthening)",Back School
NCT00803413,74345686,Supervised Walking Intervention,"Patients were submitted once a week for 5 consecutive weeks to sessions of 45 minutes including: 15-minute lectures about basics of physical activity, its advantages and benefits, barriers and facilitators, types and opportunities; 30 minutes of on-place supervised walking in group.",Supervised Walking
NCT00803413,74345687,Back School and Walking,"Weekly sessions of 90 minutes including: 30-minute lectures about basics of spine's anatomy, ergonomics, techniques of lifting and transportation of weights and volumes, body posture in several daily tasks and situations, spine preventive care, and about physical activity, its advantages and benefits, barriers and facilitators, types and opportunities",Back School and Walking
NCT00803413,74345688,Control Group,"Weekly sessions of 45 minutes including lectures about: stress control, healthy nutrition (2 lectures), sleep hygiene and injury prevention.; beside the 2-page folder content this group received no other information about LBP, BS or walking all along the follow-up.",Control Group
NCT04468074,74022831,Virtual Reality Therapy for Chronic Pain,"A 1 1/2 PowerPoint-based education session on the science behind chronic pain and a basic overview of the VR therapy
Virtual Reality Therapy: a virtual reality therapy consisting of different psychological training exercises",Therapy Group
NCT01653782,74355518,Kundalini yoga,Guided training twice a week for six weeks. Self instructing cd for home practice,kUNDALINI YOGA
NCT01653782,74355519,Self care advice,"Evidence based advice from caregiver about keeping active, exercise and a written self care pamphlet ""The Back book""",Self care advice to stay active
NCT01653782,74355520,Exercise,"Strength training at a gym supervised by a physical therapist twice a week during 6 weeks. Self training instruction was provided. A written self care pamphlet ""The Back book""",Exercise
NCT02122445,73682800,Cramer Sports Motion Tape,lower body exercises with and without Cramer Sports Motion tape applied to the hip,Low Back Pain
NCT00939107,74024771,spinal manipulation,Spinal manipulation to the lumbopelvic spine in combination with information about examination findings and advice about back care,Spinal manipulation
NCT00939107,74024772,McKenzie exercises,McKenzie exercises according to the principles of Mechanical Diagnosis and Therapy,McKenzie exercises
NCT02864732,74027245,Rehabilitation exercises,,Stabilization exercises
NCT02864732,74027245,Rehabilitation exercises,,Stabilization exercises plus electrical stimulation
NCT02864732,74027246,Electrical Stimulation,,Stabilization exercises plus electrical stimulation
