nct_id,result_group_id,ctgov_group_code,number,category
NCT02469077,75445853,BG002,0,American Indian or Alaska Native
NCT02469077,75445853,BG002,3,Asian
NCT02469077,75445853,BG002,0,Native Hawaiian or Other Pacific Islander
NCT02469077,75445853,BG002,25,Black or African American
NCT02469077,75445853,BG002,48,White
NCT02469077,75445853,BG002,1,More than one race
NCT02469077,75445853,BG002,5,Unknown or Not Reported
NCT02503410,75053952,BG002,0,American Indian or Alaska Native
NCT02503410,75053952,BG002,1,Asian
NCT02503410,75053952,BG002,0,Native Hawaiian or Other Pacific Islander
NCT02503410,75053952,BG002,0,Black or African American
NCT02503410,75053952,BG002,5,White
NCT02503410,75053952,BG002,1,More than one race
NCT02503410,75053952,BG002,0,Unknown or Not Reported
NCT03415464,75207202,BG002,0,American Indian or Alaska Native
NCT03415464,75207202,BG002,0,Asian
NCT03415464,75207202,BG002,0,Native Hawaiian or Other Pacific Islander
NCT03415464,75207202,BG002,0,Black or African American
NCT03415464,75207202,BG002,105,White
NCT03415464,75207202,BG002,0,More than one race
NCT03415464,75207202,BG002,0,Unknown or Not Reported
NCT00561652,75207930,BG002,0,American Indian or Alaskan Native
NCT00561652,75207930,BG002,1,Asian or Pacific Islander
NCT00561652,75207930,BG002,0,Nonhispanic Black
NCT00561652,75207930,BG002,2,Hispanic
NCT00561652,75207930,BG002,27,Nonhispanic White
NCT00285649,75216123,BG003,169,White
NCT00285649,75216123,BG003,23,Unknown or Not Reported
NCT03502187,75359993,BG003,72,Caucasian
NCT03502187,75359993,BG003,37,African American
NCT03502187,75359993,BG003,6,Asian/Pacific
NCT03502187,75359993,BG003,2,Amer. Indian/Alaska Native
NCT03502187,75359993,BG003,11,Multi-racial
NCT02524158,74925877,BG002,2,American Indian or Alaska Native
NCT02524158,74925877,BG002,9,Asian
NCT02524158,74925877,BG002,0,Native Hawaiian or Other Pacific Islander
NCT02524158,74925877,BG002,26,Black or African American
NCT02524158,74925877,BG002,104,White
NCT02524158,74925877,BG002,9,More than one race
NCT02524158,74925877,BG002,0,Unknown or Not Reported
NCT02027623,75474257,BG002,1,American Indian or Alaska Native
NCT02027623,75474257,BG002,7,Asian
NCT02027623,75474257,BG002,1,Native Hawaiian or Other Pacific Islander
NCT02027623,75474257,BG002,23,Black or African American
NCT02027623,75474257,BG002,110,White
NCT02027623,75474257,BG002,6,More than one race
NCT02027623,75474257,BG002,1,Unknown or Not Reported
NCT01726803,75484080,BG002,5,American Indian or Alaska Native
NCT01726803,75484080,BG002,8,Asian
NCT01726803,75484080,BG002,4,Native Hawaiian or Other Pacific Islander
NCT01726803,75484080,BG002,5,Black or African American
NCT01726803,75484080,BG002,179,White
NCT01726803,75484080,BG002,7,More than one race
NCT01726803,75484080,BG002,12,Unknown or Not Reported
NCT03816007,75395344,BG002,1,American Indian or Alaska Native
NCT03816007,75395344,BG002,0,Asian
NCT03816007,75395344,BG002,2,Native Hawaiian or Other Pacific Islander
NCT03816007,75395344,BG002,4,Black or African American
NCT03816007,75395344,BG002,15,White
NCT03816007,75395344,BG002,6,More than one race
NCT03816007,75395344,BG002,4,Unknown or Not Reported
NCT03484403,74955583,BG002,33,African American/Black
NCT03484403,74955583,BG002,20,Caucasian/White
NCT03484403,74955583,BG002,6,Hispanic or Latino
NCT00118430,75270962,BG003,3,American Indian or Alaska Native
NCT00118430,75270962,BG003,0,Asian
NCT00118430,75270962,BG003,0,Native Hawaiian or Other Pacific Islander
NCT00118430,75270962,BG003,191,Black or African American
NCT00118430,75270962,BG003,291,White
NCT00118430,75270962,BG003,0,More than one race
NCT00118430,75270962,BG003,15,Unknown or Not Reported
NCT03603028,75272151,BG000,0,American Indian or Alaska Native
NCT03603028,75272151,BG000,0,Asian
NCT03603028,75272151,BG000,0,Native Hawaiian or Other Pacific Islander
NCT03603028,75272151,BG000,13,Black or African American
NCT03603028,75272151,BG000,0,White
NCT03603028,75272151,BG000,0,More than one race
NCT03603028,75272151,BG000,0,Unknown or Not Reported
NCT01312233,74868814,BG003,123,White
NCT01312233,74868814,BG003,8,Unknown or Not Reported
NCT01841216,74966191,BG002,22,Caucasian
NCT01841216,74966191,BG002,3,African American
NCT01841216,74966191,BG002,1,Asian
NCT01841216,74966191,BG002,4,Hispanic/Latino
NCT01918189,74978492,BG000,0,American Indian or Alaska Native
NCT01918189,74978492,BG000,0,Asian
NCT01918189,74978492,BG000,0,Native Hawaiian or Other Pacific Islander
