nct_id,result_group_id,ctgov_group_code,category,title,param_value
NCT02469077,74043122,BG002,Female,"Sex: Female, Male",48
NCT02469077,74043122,BG002,Male,"Sex: Female, Male",34
NCT02353442,74045024,BG002,Female,"Sex: Female, Male",21
NCT02353442,74045024,BG002,Male,"Sex: Female, Male",38
NCT02503410,74352290,BG002,Female,"Sex: Female, Male",3
NCT02503410,74352290,BG002,Male,"Sex: Female, Male",4
NCT02645760,74353402,BG002,Female,"Sex: Female, Male",34
NCT02645760,74353402,BG002,Male,"Sex: Female, Male",4
NCT01539863,74354830,BG002,Female,"Sex: Female, Male",181
NCT01539863,74354830,BG002,Male,"Sex: Female, Male",110
NCT00786864,74491264,BG002,Female,"Sex: Female, Male",39
NCT00786864,74491264,BG002,Male,"Sex: Female, Male",33
NCT03554746,74210112,BG002,Female,"Sex: Female, Male",27
NCT03554746,74210112,BG002,Male,"Sex: Female, Male",21
NCT03415464,74506386,BG002,Female,"Sex: Female, Male",5
NCT03415464,74506386,BG002,Male,"Sex: Female, Male",100
NCT00561652,74507114,BG002,Female,"Sex: Female, Male",4
NCT00561652,74507114,BG002,Male,"Sex: Female, Male",26
NCT00285649,74515307,BG003,Female,"Sex: Female, Male",89
NCT00285649,74515307,BG003,Male,"Sex: Female, Male",103
NCT03502187,74658912,BG003,Female,"Sex: Female, Male",22
NCT03502187,74658912,BG003,Male,"Sex: Female, Male",106
NCT02027623,74071526,BG002,Female,"Sex: Female, Male",91
NCT02027623,74071526,BG002,Male,"Sex: Female, Male",58
NCT00118430,74570138,BG003,Female,"Sex: Female, Male",259
NCT00118430,74570138,BG003,Male,"Sex: Female, Male",241
NCT03603028,74571327,BG000,Female,"Sex: Female, Male",8
NCT03603028,74571327,BG000,Male,"Sex: Female, Male",5
NCT02524158,74224522,BG002,Female,"Sex: Female, Male",39
NCT02524158,74224522,BG002,Male,"Sex: Female, Male",111
NCT01726803,74081353,BG002,Female,"Sex: Female, Male",115
NCT01726803,74081353,BG002,Male,"Sex: Female, Male",105
NCT01559948,74252373,BG002,Female,"Sex: Female, Male",25
NCT01559948,74252373,BG002,Male,"Sex: Female, Male",5
NCT03484403,74253844,BG002,Female,"Sex: Female, Male",11
NCT03484403,74253844,BG002,Male,"Sex: Female, Male",48
NCT02355275,74261608,BG000,Female,"Sex: Female, Male",15
NCT02355275,74261608,BG000,Male,"Sex: Female, Male",7
NCT01841216,74264481,BG002,Female,"Sex: Female, Male",17
NCT01841216,74264481,BG002,Male,"Sex: Female, Male",13
NCT02868034,74423251,BG008,Female,"Sex: Female, Male",144
NCT02868034,74423251,BG008,Male,"Sex: Female, Male",97
NCT01374269,74015618,BG002,Female,"Sex: Female, Male",70
NCT01374269,74015618,BG002,Male,"Sex: Female, Male",20
NCT01221233,74428659,BG002,Female,"Sex: Female, Male",16
NCT01221233,74428659,BG002,Male,"Sex: Female, Male",18
NCT01362049,74023567,BG004,Female,"Sex: Female, Male",51
NCT01362049,74023567,BG004,Male,"Sex: Female, Male",51
NCT02327325,74030153,BG003,Female,"Sex: Female, Male",4
NCT02327325,74030153,BG003,Male,"Sex: Female, Male",56
NCT03644927,74030936,BG000,Female,"Sex: Female, Male",2
NCT03644927,74030936,BG000,Male,"Sex: Female, Male",9
NCT01918189,74276782,BG000,Female,"Sex: Female, Male",4
NCT01918189,74276782,BG000,Male,"Sex: Female, Male",54
NCT02308189,74277254,BG002,Female,"Sex: Female, Male",20
NCT02308189,74277254,BG002,Male,"Sex: Female, Male",12
NCT02938169,74279274,BG004,Female,"Sex: Female, Male",15
NCT02938169,74279274,BG004,Male,"Sex: Female, Male",33
NCT02391350,74282339,BG002,Female,"Sex: Female, Male",107
NCT02391350,74282339,BG002,Male,"Sex: Female, Male",112
NCT04209335,74287690,BG000,Female,"Sex: Female, Male",35
NCT04209335,74287690,BG000,Male,"Sex: Female, Male",13
NCT03360344,74598687,BG003,Female,"Sex: Female, Male",38
NCT03360344,74598687,BG003,Male,"Sex: Female, Male",4
NCT03046472,74298249,BG002,Female,"Sex: Female, Male",26
NCT03046472,74298249,BG002,Male,"Sex: Female, Male",24
NCT03816007,74694317,BG002,Female,"Sex: Female, Male",4
NCT03816007,74694317,BG002,Male,"Sex: Female, Male",28
NCT01312233,74167463,BG003,Female,"Sex: Female, Male",51
NCT01312233,74167463,BG003,Male,"Sex: Female, Male",80
NCT01653782,74702374,BG003,Female,"Sex: Female, Male",113
NCT01653782,74702374,BG003,Male,"Sex: Female, Male",46
NCT04468074,74472830,BG002,Female,"Sex: Female, Male",30
NCT04468074,74472830,BG002,Male,"Sex: Female, Male",31
NCT00939107,74473539,BG002,Female,"Sex: Female, Male",195
NCT00939107,74473539,BG002,Male,"Sex: Female, Male",155
NCT01611792,74318021,BG002,Female,"Sex: Female, Male",20
NCT01611792,74318021,BG002,Male,"Sex: Female, Male",17
NCT02864732,74474655,BG002,Female,"Sex: Female, Male",19
NCT02864732,74474655,BG002,Male,"Sex: Female, Male",11
NCT02132910,74332199,BG002,Female,"Sex: Female, Male",43
NCT02132910,74332199,BG002,Male,"Sex: Female, Male",25
NCT02122445,74189998,BG000,Female,"Sex: Female, Male",9
NCT02122445,74189998,BG000,Male,"Sex: Female, Male",11
NCT03888235,74479285,BG003,Female,"Sex: Female, Male",39
NCT03888235,74479285,BG003,Male,"Sex: Female, Male",23
NCT03504085,74480806,BG002,Female,"Sex: Female, Male",20
NCT03504085,74480806,BG002,Male,"Sex: Female, Male",29
